from_station,to_station,datetime,skills,assigned_employee,hour,day_of_week
Station B,Station D,2024-05-26 22:22:48.561646,Skill 2,3,22,6
Station H,Station A,2024-05-28 03:14:48.561650,Skill 3,6,3,1
Station A,Station H,2024-06-08 06:50:48.561655,Skill 2,5,6,5
Station F,Station G,2024-05-18 05:27:48.561659,Skill 2,4,5,5
Station A,Station H,2024-05-22 06:55:48.561663,Skill 1,1,6,2
Station B,Station F,2024-05-20 14:00:48.561668,Skill 1,1,14,0
Station E,Station B,2024-05-26 18:18:48.561673,Skill 2,2,18,6
Station H,Station B,2024-05-20 11:36:48.561677,Skill 1,9,11,0
Station H,Station G,2024-05-23 09:23:48.561682,Skill 4,4,9,3
Station D,Station G,2024-06-06 21:58:48.561686,Skill 2,1,21,3
Station F,Station G,2024-05-20 15:57:48.561691,Skill 1,2,15,0
Station B,Station E,2024-05-14 22:10:48.561695,Skill 2,6,22,1
Station H,Station C,2024-06-05 06:52:48.561700,Skill 4,10,6,2
Station A,Station C,2024-05-27 15:03:48.561704,Skill 3,4,15,0
Station B,Station G,2024-05-19 12:07:48.561708,Skill 1,2,12,6
Station D,Station C,2024-05-28 08:01:48.561713,Skill 2,2,8,1
Station F,Station A,2024-05-15 22:36:48.561717,Skill 2,2,22,2
Station D,Station A,2024-05-21 00:18:48.561721,Skill 3,9,0,1
Station C,Station E,2024-05-11 13:54:48.561726,Skill 4,9,13,5
Station D,Station A,2024-05-19 22:45:48.561730,Skill 4,4,22,6
Station G,Station F,2024-06-01 07:43:48.561734,Skill 4,9,7,5
Station F,Station B,2024-05-30 08:48:48.561738,Skill 3,10,8,3
Station A,Station B,2024-05-22 13:35:48.561742,Skill 4,10,13,2
Station H,Station B,2024-05-24 01:24:48.561747,Skill 1,6,1,4
Station C,Station B,2024-05-18 01:47:48.561751,Skill 2,6,1,5
Station E,Station H,2024-05-23 00:36:48.561755,Skill 4,6,0,3
Station G,Station A,2024-05-22 01:15:48.561759,Skill 4,3,1,2
Station D,Station A,2024-05-25 21:10:48.561764,Skill 2,4,21,5
Station A,Station G,2024-05-14 18:51:48.561768,Skill 2,9,18,1
Station F,Station E,2024-06-08 12:52:48.561772,Skill 4,6,12,5
Station A,Station C,2024-05-11 23:47:48.561777,Skill 3,10,23,5
Station G,Station C,2024-05-21 23:39:48.561781,Skill 4,1,23,1
Station B,Station D,2024-05-29 04:46:48.561785,Skill 1,9,4,2
Station F,Station B,2024-06-03 00:56:48.561789,Skill 3,7,0,0
Station D,Station F,2024-05-26 21:55:48.561794,Skill 4,3,21,6
Station G,Station A,2024-05-15 06:46:48.561798,Skill 3,8,6,2
Station B,Station A,2024-05-25 04:40:48.561802,Skill 1,10,4,5
Station B,Station F,2024-05-31 16:09:48.561806,Skill 4,3,16,4
Station C,Station F,2024-05-19 15:02:48.561810,Skill 2,8,15,6
Station E,Station H,2024-05-25 01:59:48.561815,Skill 4,3,1,5
Station G,Station E,2024-05-11 12:52:48.561819,Skill 3,5,12,5
Station G,Station D,2024-05-16 13:46:48.561824,Skill 2,4,13,3
Station F,Station A,2024-05-30 18:05:48.561828,Skill 2,5,18,3
Station D,Station C,2024-05-23 06:50:48.561832,Skill 1,5,6,3
Station G,Station F,2024-05-20 04:57:48.561836,Skill 4,1,4,0
Station F,Station A,2024-05-11 08:09:48.561841,Skill 1,6,8,5
Station A,Station D,2024-06-03 18:26:48.561845,Skill 3,7,18,0
Station H,Station B,2024-06-03 16:07:48.561849,Skill 4,4,16,0
Station G,Station F,2024-05-23 07:45:48.561853,Skill 2,8,7,3
Station D,Station B,2024-05-23 23:47:48.561857,Skill 2,2,23,3
Station A,Station B,2024-05-17 06:53:48.561862,Skill 2,2,6,4
Station B,Station A,2024-05-27 19:10:48.561866,Skill 4,4,19,0
Station D,Station A,2024-06-05 12:02:48.561871,Skill 2,4,12,2
Station G,Station C,2024-05-30 02:07:48.561875,Skill 1,9,2,3
Station B,Station A,2024-05-18 11:32:48.561880,Skill 3,10,11,5
Station C,Station A,2024-05-11 08:37:48.561884,Skill 1,4,8,5
Station C,Station H,2024-05-26 15:26:48.561888,Skill 4,2,15,6
Station E,Station B,2024-05-27 08:55:48.561892,Skill 4,5,8,0
Station A,Station D,2024-06-05 14:45:48.561897,Skill 3,4,14,2
Station C,Station H,2024-05-21 05:46:48.561901,Skill 1,10,5,1
Station E,Station D,2024-06-03 12:01:48.561906,Skill 3,6,12,0
Station G,Station A,2024-05-10 19:14:48.561910,Skill 4,3,19,4
Station H,Station D,2024-06-04 01:43:48.561915,Skill 2,5,1,1
Station C,Station E,2024-05-31 07:05:48.561919,Skill 4,4,7,4
Station F,Station G,2024-05-12 09:16:48.561923,Skill 3,4,9,6
Station E,Station A,2024-05-21 12:26:48.561928,Skill 3,1,12,1
Station D,Station F,2024-05-18 03:18:48.561932,Skill 3,10,3,5
Station E,Station B,2024-06-08 00:04:48.561937,Skill 1,6,0,5
Station H,Station C,2024-05-22 09:38:48.561941,Skill 1,3,9,2
Station A,Station C,2024-05-28 02:19:48.561945,Skill 3,3,2,1
Station A,Station C,2024-05-16 19:15:48.561950,Skill 1,9,19,3
Station G,Station D,2024-05-24 12:04:48.561954,Skill 3,10,12,4
Station G,Station B,2024-05-13 02:36:48.561959,Skill 1,9,2,0
Station B,Station F,2024-05-30 09:03:48.561963,Skill 2,9,9,3
Station H,Station F,2024-05-28 10:39:48.561967,Skill 1,5,10,1
Station C,Station D,2024-05-25 10:21:48.561972,Skill 4,1,10,5
Station D,Station H,2024-05-18 07:38:48.561976,Skill 2,5,7,5
Station D,Station F,2024-05-13 18:51:48.561980,Skill 3,5,18,0
Station F,Station B,2024-05-23 05:57:48.561985,Skill 2,7,5,3
Station G,Station A,2024-05-18 21:31:48.561989,Skill 3,5,21,5
Station H,Station G,2024-05-09 13:47:48.561993,Skill 2,1,13,3
Station B,Station E,2024-05-23 19:22:48.561997,Skill 4,5,19,3
Station A,Station D,2024-05-09 08:50:48.562001,Skill 4,4,8,3
Station F,Station B,2024-05-26 06:19:48.562006,Skill 3,4,6,6
Station C,Station H,2024-06-01 01:07:48.562010,Skill 4,2,1,5
Station H,Station B,2024-05-21 14:14:48.562014,Skill 1,6,14,1
Station G,Station H,2024-06-02 03:37:48.562019,Skill 3,5,3,6
Station C,Station H,2024-05-30 07:09:48.562023,Skill 1,9,7,3
Station A,Station B,2024-06-03 20:08:48.562028,Skill 3,4,20,0
Station C,Station G,2024-05-29 21:20:48.562032,Skill 3,9,21,2
Station B,Station F,2024-05-27 21:21:48.562037,Skill 2,4,21,0
Station A,Station H,2024-05-17 09:51:48.562041,Skill 2,3,9,4
Station C,Station F,2024-05-11 06:55:48.562045,Skill 1,8,6,5
Station D,Station H,2024-06-03 22:56:48.562050,Skill 2,5,22,0
Station A,Station F,2024-06-06 13:29:48.562054,Skill 3,6,13,3
Station D,Station G,2024-05-13 19:51:48.562058,Skill 2,4,19,0
Station D,Station A,2024-05-26 22:53:48.562062,Skill 2,4,22,6
Station H,Station F,2024-05-15 02:44:48.562066,Skill 3,7,2,2
Station D,Station G,2024-06-07 08:15:48.562071,Skill 2,10,8,4
Station F,Station D,2024-05-17 12:04:48.562075,Skill 1,4,12,4
Station H,Station A,2024-05-28 05:31:48.562080,Skill 2,2,5,1
Station G,Station F,2024-05-16 20:35:48.562084,Skill 4,6,20,3
Station E,Station B,2024-06-05 17:54:48.562088,Skill 2,9,17,2
Station C,Station G,2024-05-24 19:11:48.562092,Skill 1,6,19,4
Station C,Station B,2024-05-17 17:50:48.562096,Skill 2,9,17,4
Station C,Station G,2024-05-11 19:19:48.562101,Skill 2,5,19,5
Station E,Station D,2024-05-10 10:04:48.562105,Skill 4,1,10,4
Station B,Station D,2024-05-20 01:59:48.562110,Skill 2,2,1,0
Station C,Station G,2024-05-15 08:42:48.562114,Skill 3,6,8,2
Station A,Station B,2024-05-21 18:54:48.562118,Skill 2,5,18,1
Station G,Station H,2024-05-23 19:54:48.562122,Skill 4,5,19,3
Station B,Station D,2024-05-13 21:11:48.562126,Skill 1,1,21,0
Station H,Station A,2024-05-30 11:06:48.562131,Skill 1,10,11,3
Station C,Station D,2024-05-31 06:52:48.562135,Skill 1,2,6,4
Station E,Station G,2024-05-27 07:17:48.562139,Skill 2,10,7,0
Station A,Station H,2024-05-26 22:25:48.562144,Skill 3,10,22,6
Station C,Station D,2024-06-04 14:54:48.562148,Skill 3,9,14,1
Station G,Station H,2024-05-27 21:00:48.562152,Skill 4,2,21,0
Station C,Station G,2024-05-22 21:37:48.562156,Skill 2,5,21,2
Station B,Station G,2024-05-24 10:04:48.562160,Skill 3,8,10,4
Station D,Station F,2024-05-16 04:33:48.562164,Skill 4,6,4,3
Station A,Station F,2024-06-02 00:01:48.562169,Skill 3,1,0,6
Station A,Station H,2024-05-22 13:43:48.562173,Skill 3,1,13,2
Station A,Station G,2024-05-28 11:21:48.562177,Skill 4,3,11,1
Station G,Station A,2024-05-10 10:15:48.562182,Skill 3,8,10,4
Station C,Station B,2024-05-25 05:58:48.562186,Skill 4,3,5,5
Station C,Station H,2024-06-07 12:00:48.562190,Skill 1,6,12,4
Station C,Station D,2024-05-12 23:16:48.562194,Skill 3,6,23,6
Station E,Station C,2024-05-19 07:56:48.562199,Skill 2,8,7,6
Station B,Station F,2024-06-05 07:23:48.562203,Skill 4,8,7,2
Station A,Station H,2024-05-17 09:56:48.562207,Skill 3,9,9,4
Station H,Station A,2024-05-31 19:51:48.562211,Skill 3,2,19,4
Station C,Station B,2024-05-21 10:07:48.562215,Skill 1,8,10,1
Station A,Station G,2024-06-07 03:28:48.562220,Skill 4,5,3,4
Station G,Station E,2024-05-30 03:56:48.562224,Skill 2,5,3,3
Station E,Station D,2024-05-11 03:42:48.562228,Skill 3,1,3,5
Station D,Station G,2024-06-07 16:05:48.562232,Skill 3,7,16,4
Station F,Station B,2024-05-11 11:46:48.562237,Skill 4,9,11,5
Station C,Station E,2024-05-25 05:15:48.562241,Skill 2,2,5,5
Station C,Station D,2024-05-19 20:35:48.562246,Skill 2,5,20,6
Station D,Station A,2024-05-17 09:06:48.562250,Skill 1,8,9,4
Station H,Station F,2024-05-26 12:43:48.562254,Skill 4,7,12,6
Station F,Station H,2024-05-28 09:49:48.562258,Skill 4,1,9,1
Station C,Station H,2024-05-31 09:44:48.562262,Skill 4,3,9,4
Station H,Station A,2024-06-01 03:00:48.562266,Skill 3,8,3,5
Station C,Station B,2024-06-04 20:44:48.562271,Skill 1,5,20,1
Station B,Station H,2024-05-13 17:34:48.562275,Skill 1,10,17,0
Station B,Station G,2024-05-27 05:03:48.562279,Skill 3,9,5,0
Station G,Station B,2024-05-29 19:12:48.562284,Skill 2,5,19,2
Station E,Station F,2024-05-21 14:17:48.562288,Skill 4,7,14,1
Station H,Station D,2024-06-07 13:41:48.562293,Skill 3,9,13,4
Station H,Station D,2024-05-21 11:02:48.562298,Skill 3,5,11,1
Station B,Station C,2024-05-22 17:11:48.562303,Skill 3,4,17,2
Station D,Station B,2024-05-14 08:34:48.562307,Skill 2,6,8,1
Station D,Station E,2024-05-20 22:44:48.562311,Skill 1,1,22,0
Station H,Station D,2024-05-16 17:58:48.562315,Skill 1,7,17,3
Station A,Station C,2024-05-31 16:18:48.562319,Skill 1,8,16,4
Station F,Station C,2024-05-10 18:01:48.562324,Skill 1,4,18,4
Station E,Station G,2024-05-21 07:50:48.562328,Skill 4,2,7,1
Station C,Station H,2024-06-07 21:23:48.562332,Skill 4,5,21,4
Station H,Station C,2024-06-09 00:09:48.562336,Skill 1,5,0,6
Station D,Station B,2024-05-18 09:23:48.562340,Skill 2,9,9,5
Station E,Station G,2024-06-07 15:45:48.562344,Skill 2,7,15,4
Station C,Station E,2024-05-21 10:46:48.562349,Skill 1,3,10,1
Station H,Station B,2024-05-20 16:32:48.562353,Skill 3,4,16,0
Station B,Station E,2024-05-11 06:13:48.562357,Skill 1,3,6,5
Station C,Station A,2024-05-10 07:20:48.562361,Skill 4,4,7,4
Station B,Station E,2024-05-30 13:59:48.562365,Skill 2,1,13,3
Station A,Station F,2024-05-27 20:09:48.562369,Skill 2,9,20,0
Station H,Station A,2024-05-28 23:00:48.562373,Skill 4,7,23,1
Station F,Station H,2024-05-25 09:09:48.562378,Skill 3,8,9,5
Station D,Station E,2024-05-12 18:04:48.562382,Skill 1,2,18,6
Station E,Station B,2024-05-26 11:27:48.562386,Skill 3,3,11,6
Station E,Station C,2024-05-25 06:42:48.562390,Skill 3,10,6,5
Station G,Station D,2024-05-17 19:24:48.562395,Skill 3,1,19,4
Station H,Station E,2024-06-08 13:37:48.562399,Skill 1,9,13,5
Station A,Station B,2024-05-20 09:22:48.562403,Skill 3,3,9,0
Station G,Station D,2024-05-25 12:31:48.562407,Skill 1,1,12,5
Station F,Station A,2024-05-15 05:21:48.562414,Skill 2,2,5,2
Station B,Station E,2024-05-16 00:54:48.562418,Skill 4,8,0,3
Station F,Station C,2024-06-08 05:04:48.562422,Skill 4,8,5,5
Station H,Station D,2024-05-21 12:42:48.562427,Skill 2,4,12,1
Station G,Station C,2024-06-05 18:13:48.562431,Skill 1,6,18,2
Station E,Station B,2024-05-22 00:36:48.562435,Skill 2,2,0,2
Station D,Station H,2024-05-20 20:08:48.562439,Skill 4,6,20,0
Station E,Station F,2024-06-04 18:06:48.562443,Skill 3,4,18,1
Station D,Station A,2024-06-03 20:35:48.562448,Skill 3,8,20,0
Station B,Station F,2024-06-06 01:37:48.562452,Skill 2,7,1,3
Station B,Station E,2024-06-06 21:56:48.562456,Skill 4,2,21,3
Station B,Station E,2024-05-22 11:02:48.562460,Skill 1,9,11,2
Station G,Station B,2024-05-16 01:46:48.562464,Skill 4,5,1,3
Station C,Station F,2024-06-05 10:16:48.562468,Skill 2,10,10,2
Station A,Station G,2024-05-11 17:34:48.562472,Skill 2,8,17,5
Station G,Station A,2024-05-30 13:24:48.562477,Skill 1,9,13,3
Station F,Station D,2024-05-17 11:32:48.562481,Skill 3,2,11,4
Station A,Station G,2024-06-05 18:11:48.562485,Skill 4,9,18,2
Station H,Station G,2024-06-05 02:36:48.562490,Skill 4,7,2,2
Station G,Station H,2024-05-22 11:33:48.562495,Skill 4,10,11,2
Station D,Station A,2024-06-08 16:00:48.562499,Skill 4,4,16,5
Station D,Station H,2024-06-01 15:13:48.562503,Skill 2,1,15,5
Station G,Station C,2024-06-01 03:54:48.562507,Skill 1,6,3,5
Station B,Station C,2024-05-09 10:32:48.562512,Skill 4,3,10,3
Station C,Station D,2024-05-11 20:31:48.562516,Skill 3,2,20,5
Station A,Station D,2024-06-07 10:06:48.562520,Skill 1,4,10,4
Station F,Station H,2024-06-05 02:37:48.562524,Skill 1,2,2,2
Station G,Station B,2024-05-29 04:34:48.562528,Skill 2,2,4,2
Station B,Station E,2024-05-15 07:51:48.562533,Skill 2,6,7,2
Station A,Station B,2024-05-18 11:35:48.562537,Skill 3,2,11,5
Station C,Station B,2024-05-31 22:53:48.562541,Skill 3,8,22,4
Station B,Station C,2024-05-15 23:21:48.562545,Skill 2,10,23,2
Station A,Station G,2024-05-22 00:20:48.562549,Skill 4,10,0,2
Station G,Station E,2024-06-01 04:27:48.562554,Skill 3,7,4,5
Station D,Station G,2024-05-31 17:29:48.562558,Skill 3,6,17,4
Station F,Station C,2024-06-07 11:06:48.562562,Skill 1,6,11,4
Station H,Station B,2024-05-29 13:24:48.562566,Skill 2,2,13,2
Station E,Station D,2024-05-23 04:17:48.562571,Skill 4,6,4,3
Station A,Station E,2024-05-09 02:53:48.562575,Skill 1,9,2,3
Station E,Station A,2024-06-06 04:34:48.562579,Skill 1,9,4,3
Station B,Station A,2024-05-09 12:24:48.562583,Skill 1,8,12,3
Station F,Station A,2024-06-02 05:54:48.562587,Skill 3,6,5,6
Station H,Station D,2024-05-22 19:25:48.562591,Skill 4,9,19,2
Station H,Station B,2024-05-16 14:43:48.562595,Skill 4,9,14,3
Station G,Station B,2024-06-07 04:08:48.562599,Skill 1,7,4,4
Station D,Station G,2024-05-28 08:59:48.562603,Skill 4,9,8,1
Station E,Station G,2024-05-09 16:39:48.562608,Skill 2,5,16,3
Station A,Station B,2024-05-11 02:17:48.562612,Skill 2,4,2,5
Station C,Station E,2024-05-22 07:27:48.562616,Skill 2,5,7,2
Station C,Station F,2024-06-03 14:02:48.562620,Skill 2,7,14,0
Station C,Station A,2024-05-31 19:15:48.562624,Skill 2,8,19,4
Station H,Station F,2024-05-23 14:08:48.562628,Skill 3,8,14,3
Station F,Station D,2024-05-26 08:03:48.562632,Skill 1,9,8,6
Station E,Station A,2024-05-24 18:17:48.562636,Skill 3,1,18,4
Station F,Station H,2024-05-28 18:37:48.562641,Skill 2,2,18,1
Station F,Station C,2024-06-07 16:57:48.562645,Skill 2,2,16,4
Station H,Station G,2024-05-27 11:04:48.562650,Skill 3,10,11,0
Station A,Station F,2024-05-12 05:48:48.562654,Skill 1,4,5,6
Station F,Station E,2024-05-27 07:21:48.562658,Skill 2,10,7,0
Station E,Station D,2024-05-27 09:32:48.562662,Skill 3,6,9,0
Station F,Station E,2024-05-28 10:41:48.562666,Skill 2,1,10,1
Station F,Station C,2024-05-14 16:26:48.562671,Skill 3,9,16,1
Station D,Station G,2024-05-12 02:53:48.562675,Skill 2,2,2,6
Station F,Station A,2024-05-19 02:54:48.562679,Skill 3,10,2,6
Station B,Station E,2024-05-29 18:56:48.562684,Skill 3,2,18,2
Station B,Station G,2024-05-28 08:00:48.562688,Skill 2,3,8,1
Station H,Station G,2024-05-22 00:46:48.562692,Skill 1,8,0,2
Station C,Station B,2024-05-10 20:32:48.562696,Skill 4,8,20,4
Station G,Station D,2024-05-17 16:52:48.562700,Skill 4,7,16,4
Station E,Station H,2024-05-28 12:45:48.562704,Skill 3,8,12,1
Station F,Station B,2024-05-17 23:14:48.562708,Skill 2,5,23,4
Station C,Station G,2024-05-24 09:31:48.562712,Skill 2,7,9,4
Station D,Station H,2024-05-13 20:29:48.562717,Skill 2,6,20,0
Station E,Station B,2024-06-06 21:27:48.562721,Skill 4,9,21,3
Station G,Station E,2024-05-18 03:47:48.562725,Skill 3,1,3,5
Station H,Station B,2024-05-13 20:39:48.562729,Skill 4,5,20,0
Station B,Station H,2024-05-30 04:48:48.562734,Skill 2,3,4,3
Station C,Station F,2024-06-07 17:06:48.562738,Skill 1,3,17,4
Station D,Station E,2024-05-25 16:07:48.562742,Skill 2,6,16,5
Station A,Station H,2024-05-11 04:58:48.562746,Skill 2,10,4,5
Station F,Station B,2024-05-20 13:01:48.562750,Skill 3,7,13,0
Station A,Station F,2024-05-11 18:07:48.562754,Skill 3,4,18,5
Station B,Station E,2024-05-19 20:03:48.562758,Skill 2,9,20,6
Station E,Station H,2024-05-27 05:22:48.562762,Skill 4,6,5,0
Station B,Station F,2024-05-13 15:34:48.562766,Skill 3,2,15,0
Station A,Station H,2024-05-10 12:28:48.562770,Skill 1,10,12,4
Station G,Station C,2024-05-17 05:27:48.562774,Skill 3,2,5,4
Station G,Station A,2024-05-10 10:16:48.562779,Skill 1,3,10,4
Station E,Station F,2024-05-10 04:31:48.562783,Skill 3,10,4,4
Station D,Station B,2024-05-26 01:20:48.562787,Skill 1,10,1,6
Station E,Station H,2024-05-13 19:16:48.562793,Skill 2,8,19,0
Station C,Station E,2024-05-16 21:17:48.562797,Skill 1,1,21,3
Station H,Station E,2024-06-02 08:41:48.562801,Skill 1,3,8,6
Station F,Station G,2024-05-10 20:23:48.562805,Skill 4,1,20,4
Station H,Station F,2024-05-27 15:08:48.562809,Skill 1,4,15,0
Station E,Station H,2024-05-25 08:55:48.562813,Skill 1,5,8,5
Station B,Station H,2024-05-17 06:06:48.562818,Skill 2,3,6,4
Station B,Station H,2024-05-19 19:16:48.562822,Skill 1,9,19,6
Station C,Station A,2024-06-06 07:44:48.562826,Skill 3,8,7,3
Station D,Station B,2024-05-14 03:26:48.562832,Skill 1,4,3,1
Station F,Station E,2024-05-14 18:38:48.562836,Skill 1,10,18,1
Station B,Station A,2024-05-31 16:24:48.562840,Skill 3,6,16,4
Station B,Station A,2024-05-21 18:24:48.562844,Skill 2,8,18,1
Station B,Station E,2024-05-28 00:26:48.562848,Skill 3,6,0,1
Station G,Station C,2024-05-16 07:48:48.562853,Skill 4,5,7,3
Station A,Station B,2024-05-17 14:04:48.562857,Skill 2,3,14,4
Station F,Station C,2024-06-02 22:18:48.562861,Skill 3,8,22,6
Station H,Station D,2024-05-27 13:32:48.562865,Skill 2,8,13,0
Station G,Station B,2024-05-11 05:50:48.562870,Skill 2,9,5,5
Station D,Station B,2024-05-23 17:41:48.562874,Skill 3,8,17,3
Station H,Station C,2024-05-20 11:36:48.562878,Skill 2,3,11,0
Station G,Station E,2024-05-12 12:07:48.562883,Skill 4,6,12,6
Station B,Station G,2024-05-13 12:14:48.562887,Skill 2,4,12,0
Station C,Station D,2024-05-31 17:38:48.562891,Skill 1,1,17,4
Station E,Station F,2024-06-05 15:57:48.562895,Skill 4,3,15,2
Station E,Station C,2024-05-31 17:13:48.562899,Skill 3,5,17,4
Station D,Station B,2024-05-31 16:45:48.562903,Skill 4,8,16,4
Station H,Station B,2024-06-04 22:04:48.562907,Skill 4,5,22,1
Station F,Station C,2024-05-14 00:25:48.562912,Skill 3,1,0,1
Station C,Station B,2024-05-24 02:05:48.562916,Skill 3,3,2,4
Station A,Station E,2024-05-25 12:57:48.562920,Skill 1,1,12,5
Station G,Station B,2024-05-13 16:01:48.562924,Skill 4,4,16,0
Station A,Station G,2024-06-09 02:09:48.562929,Skill 3,4,2,6
Station F,Station E,2024-05-18 08:49:48.562933,Skill 3,4,8,5
Station D,Station C,2024-05-17 11:01:48.562937,Skill 1,9,11,4
Station A,Station B,2024-06-03 23:30:48.562941,Skill 1,2,23,0
Station D,Station H,2024-05-12 00:40:48.562945,Skill 2,5,0,6
Station C,Station E,2024-05-26 18:15:48.562949,Skill 4,1,18,6
Station H,Station B,2024-05-24 20:02:48.562954,Skill 3,3,20,4
Station A,Station F,2024-05-16 01:39:48.562958,Skill 3,8,1,3
Station A,Station E,2024-05-25 09:49:48.562962,Skill 3,5,9,5
Station E,Station D,2024-06-05 18:13:48.562966,Skill 1,4,18,2
Station G,Station E,2024-05-17 10:43:48.562971,Skill 3,8,10,4
Station F,Station A,2024-05-21 02:18:48.562975,Skill 1,1,2,1
Station E,Station G,2024-05-19 07:37:48.562979,Skill 3,4,7,6
Station H,Station E,2024-05-12 01:23:48.562983,Skill 3,5,1,6
Station H,Station B,2024-05-14 02:15:48.562987,Skill 2,6,2,1
Station G,Station F,2024-05-09 16:09:48.562991,Skill 2,1,16,3
Station D,Station A,2024-05-29 00:21:48.562995,Skill 4,7,0,2
Station H,Station E,2024-05-20 00:38:48.562999,Skill 4,10,0,0
Station H,Station B,2024-05-27 15:42:48.563004,Skill 2,4,15,0
Station C,Station E,2024-06-01 05:27:48.563008,Skill 3,2,5,5
Station B,Station A,2024-05-28 06:40:48.563012,Skill 1,3,6,1
Station C,Station D,2024-05-17 05:19:48.563016,Skill 4,4,5,4
Station H,Station B,2024-05-17 11:07:48.563020,Skill 3,10,11,4
Station B,Station E,2024-05-19 08:22:48.563025,Skill 3,4,8,6
Station H,Station A,2024-05-22 09:49:48.563029,Skill 3,8,9,2
Station C,Station E,2024-05-24 09:17:48.563033,Skill 2,5,9,4
Station C,Station H,2024-05-15 03:16:48.563037,Skill 1,6,3,2
Station D,Station B,2024-05-26 04:03:48.563041,Skill 1,9,4,6
Station F,Station G,2024-06-08 11:59:48.563045,Skill 4,3,11,5
Station F,Station H,2024-05-11 11:11:48.563050,Skill 4,10,11,5
Station E,Station B,2024-05-22 04:06:48.563054,Skill 3,3,4,2
Station E,Station D,2024-05-12 00:49:48.563058,Skill 3,9,0,6
Station F,Station D,2024-06-08 16:00:48.563062,Skill 4,3,16,5
Station C,Station F,2024-06-02 06:05:48.563066,Skill 3,7,6,6
Station F,Station H,2024-05-15 17:21:48.563071,Skill 1,9,17,2
Station E,Station G,2024-06-05 18:41:48.563075,Skill 3,1,18,2
Station F,Station B,2024-05-23 01:00:48.563079,Skill 1,6,1,3
Station C,Station G,2024-05-26 04:23:48.563083,Skill 3,6,4,6
Station G,Station B,2024-06-05 01:55:48.563087,Skill 1,9,1,2
Station A,Station D,2024-05-17 07:26:48.563091,Skill 3,7,7,4
Station F,Station E,2024-05-19 03:53:48.563095,Skill 1,8,3,6
Station C,Station H,2024-05-13 00:13:48.563099,Skill 1,10,0,0
Station A,Station B,2024-05-17 04:43:48.563104,Skill 4,3,4,4
